Action Key,Process ID,Parent ID,Root Stage ID,Stage,Level #,Level Type,Action / Task,RACI Source ID,RACI Source Task,RACI Assignment Type,Responsible,Accountable,Consulted,Informed,Primary Swimlane,Gate,Recommended View,Status,Priority,AppSheet Show?,Original Row
1-1-2-4,1.1.2.4,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,No Contact: Set Follow Up Date,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,13
1-1-2-5,1.1.2.5,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,Not Now: Set Follow Up for 3 years,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,14
1-1-2-6,1.1.2.6,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,Interested: Set Appointment for Account Manager (Sales),1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,15
1-1-2-7,1.1.2.7,1.1.2,1,ENGAGEMENT - Presolicitation,4,Subtask,Interested: Create Opportunity in CRM,1.1,Source Lead,Inherited,Account Manager,Admin - Sales,CRO,President,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,16
1-2,1.2,1,1,ENGAGEMENT - Presolicitation,1,Process,Business Licensing,1.2,Business Licensing,Direct,Finance,Admin Mgt,COS,President,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,17
1-2-1,1.2.1,1.2,1,ENGAGEMENT - Presolicitation,3,Task,Confirm Licensed in the State,1.2,Business Licensing,Inherited,Finance,Admin Mgt,COS,President,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,18
1-2-2,1.2.2,1.2,1,ENGAGEMENT - Presolicitation,3,Task,HC: Agency Staffing Licenses,1.2,Business Licensing,Inherited,Finance,Admin Mgt,COS,President,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,19
1-2-3,1.2.3,1.2,1,ENGAGEMENT - Presolicitation,3,Task,Workers Comp Set up,1.2,Business Licensing,Inherited,Finance,Admin Mgt,COS,President,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,20
1-2-4,1.2.4,1.2,1,ENGAGEMENT - Presolicitation,3,Task,Certificate of Insurance (COI),1.2,Business Licensing,Inherited,Finance,Admin Mgt,COS,President,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,21
1-2-5,1.2.5,1.2,1,ENGAGEMENT - Presolicitation,3,Task,Staffing License,1.2,Business Licensing,Inherited,Finance,Admin Mgt,COS,President,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,22
1-3,1.3,1,1,ENGAGEMENT - Presolicitation,1,Process,Conduct Sales Appointment,1.3,Conduct Sales Appointment,Direct,Account Manager,CRO,CRO,Admin - Sales,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,23
1-3-1,1.3.1,1.3,1,ENGAGEMENT - Presolicitation,3,Task,"Validate: Bargaining Size, Expiration, & Services",1.3,Conduct Sales Appointment,Inherited,Account Manager,CRO,CRO,Admin - Sales,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,24
1-3-2,1.3.2,1.3,1,ENGAGEMENT - Presolicitation,3,Task,HC: Licensing Campaign,1.3,Conduct Sales Appointment,Inherited,Account Manager,CRO,CRO,Admin - Sales,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,25
1-3-3,1.3.3,1.3,1,ENGAGEMENT - Presolicitation,3,Task,Review all business lines,1.3,Conduct Sales Appointment,Inherited,Account Manager,CRO,CRO,Admin - Sales,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,26
1-3-4,1.3.4,1.3,1,ENGAGEMENT - Presolicitation,3,Task,Update CRM with collected data,1.3,Conduct Sales Appointment,Inherited,Account Manager,CRO,CRO,Admin - Sales,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,27
1-4,1.4,1,1,ENGAGEMENT - Presolicitation,1,Process,Needs Assessment,1.4,Needs Assessment,Direct,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,28
1-4-1,1.4.1,1.4,1,ENGAGEMENT - Presolicitation,3,Task,Position Requirements,1.4,Needs Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,29
1-4-2,1.4.2,1.4,1,ENGAGEMENT - Presolicitation,3,Task,Job Descriptions,1.4,Needs Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,30
1-4-3,1.4.3,1.4,1,ENGAGEMENT - Presolicitation,3,Task,Healthcare Matrix,1.4,Needs Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,31
1-4-4,1.4.4,1.4,1,ENGAGEMENT - Presolicitation,3,Task,CDL Recruiting Questionnaire,1.4,Needs Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,32
1-4-5,1.4.5,1.4,1,ENGAGEMENT - Presolicitation,3,Task,OH Guard Authorization,1.4,Needs Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,33
1-5,1.5,1,1,ENGAGEMENT - Presolicitation,1,Process,Pricing / Wage Review,1.5,Pricing / Wage Review,Direct,Operations Staffing,Account Manager,Finance,CRO,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,34
1-5-1,1.5.1,1.5,1,ENGAGEMENT - Presolicitation,3,Task,Burden Rates,1.5,Pricing / Wage Review,Inherited,Operations Staffing,Account Manager,Finance,CRO,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,35
1-5-2,1.5.2,1.5,1,ENGAGEMENT - Presolicitation,3,Task,Confirm Standard Wage at/above State Min.,1.5,Pricing / Wage Review,Inherited,Operations Staffing,Account Manager,Finance,CRO,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,36
1-5-3,1.5.3,1.5,1,ENGAGEMENT - Presolicitation,3,Task,Confirm Wage Adjustments w/in Proforma Profitability,1.5,Pricing / Wage Review,Inherited,Operations Staffing,Account Manager,Finance,CRO,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,37
1-5-4,1.5.4,1.5,1,ENGAGEMENT - Presolicitation,3,Task,Price Position,1.5,Pricing / Wage Review,Inherited,Operations Staffing,Account Manager,Finance,CRO,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,38
1-5-5,1.5.5,1.5,1,ENGAGEMENT - Presolicitation,3,Task,Evaluate Role Fill Potential,1.5,Pricing / Wage Review,Inherited,Operations Staffing,Account Manager,Finance,CRO,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,39
1-6,1.6,1,1,ENGAGEMENT - Presolicitation,1,Process,Security (On-Site / Virtual) Assessment,1.6,Security (On-Site / Virtual) Assessment,Direct,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,40
1-6-1,1.6.1,1.6,1,ENGAGEMENT - Presolicitation,3,Task,Satellite Photos of Facility w/Property Lines,1.6,Security (On-Site / Virtual) Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,41
1-6-2,1.6.2,1.6,1,ENGAGEMENT - Presolicitation,3,Task,Needs Analysis Document,1.6,Security (On-Site / Virtual) Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,42
1-6-3,1.6.3,1.6,1,ENGAGEMENT - Presolicitation,3,Task,On-Site / Virtual Review,1.6,Security (On-Site / Virtual) Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,43
1-6-4,1.6.4,1.6,1,ENGAGEMENT - Presolicitation,3,Task,Licensing Requirements,1.6,Security (On-Site / Virtual) Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,44
1-6-5,1.6.5,1.6,1,ENGAGEMENT - Presolicitation,3,Task,Determine Access Points,1.6,Security (On-Site / Virtual) Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,45
1-6-6,1.6.6,1.6,1,ENGAGEMENT - Presolicitation,3,Task,Understand Local Emergency Service Relationships,1.6,Security (On-Site / Virtual) Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,46
1-7,1.7,1,1,ENGAGEMENT - Presolicitation,1,Process,Security Licensing (Sec),1.7,Security Licensing (Sec),Direct,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,47
1-7-1,1.7.1,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Review License Document,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,48
1-7-2,1.7.2,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: List Current Staff w/License,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,49
1-7-3,1.7.3,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Process to get Licensed,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,50
1-7-4,1.7.4,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Get Licensed in the State,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,51
1-7-5,1.7.5,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Vendor Licensing Need,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,52
1-7-6,1.7.6,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Select Vendor,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,53
1-7-7,1.7.7,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Will Vendor Train?,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,54
1-7-8,1.7.8,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Negotiate Contract w/Vendor,1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,55
1-7-9,1.7.9,1.7,1,ENGAGEMENT - Presolicitation,3,Task,Sec: Finger Printing Process (varies by state),1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,56
1-7-10,1.7.10,1.7,1,ENGAGEMENT - Presolicitation,3,Task,"Sec: Finger Printing Vendor (Local, Mobile, Non-Local)",1.7,Security Licensing (Sec),Inherited,Admin Mgt,Operations Field,Operations Field,Sales,Executive / Admin,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,57
1-8,1.8,1,1,ENGAGEMENT - Presolicitation,1,Process,Logistics / Transportation Assessment,1.8,Logistics / Transportation Assessment,Direct,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,58
1-8-1,1.8.1,1.8,1,ENGAGEMENT - Presolicitation,3,Task,Client Transportation,1.8,Logistics / Transportation Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,59
1-8-2,1.8.2,1.8,1,ENGAGEMENT - Presolicitation,3,Task,Vehicles Needed (van or bus),1.8,Logistics / Transportation Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,60
1-8-3,1.8.3,1.8,1,ENGAGEMENT - Presolicitation,3,Task,Vehicle Accessibility,1.8,Logistics / Transportation Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,61
1-8-4,1.8.4,1.8,1,ENGAGEMENT - Presolicitation,3,Task,Review Local Vendors,1.8,Logistics / Transportation Assessment,Inherited,Account Manager,CRO,Operations Field,Project Mgt,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,62
1-9,1.9,1,1,ENGAGEMENT - Presolicitation,1,Process,Staff Availability,1.9,Staff Availability,Direct,Operations Staffing,Project Mgt,VP of Ops,Sales,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,63
1-9-1,1.9.1,1.9,1,ENGAGEMENT - Presolicitation,3,Task,Recruiter Bandwidth,1.9,Staff Availability,Inherited,Operations Staffing,Project Mgt,VP of Ops,Sales,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,64
1-9-2,1.9.2,1.9,1,ENGAGEMENT - Presolicitation,3,Task,Hire New Staff,1.9,Staff Availability,Inherited,Operations Staffing,Project Mgt,VP of Ops,Sales,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,65
1-9-3,1.9.3,1.9,1,ENGAGEMENT - Presolicitation,3,Task,Field Ops Availability,1.9,Staff Availability,Inherited,Operations Staffing,Project Mgt,VP of Ops,Sales,Operations Staffing,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,66
1-10,1.10,1,1,ENGAGEMENT - Presolicitation,1,Process,Proforma / Agreement,1.10,Proforma / Agreement,Direct,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,67
1-10-1,1.10.1,1.10,1,ENGAGEMENT - Presolicitation,3,Task,Active Locations Final,1.10,Proforma / Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,68
1-10-2,1.10.2,1.10,1,ENGAGEMENT - Presolicitation,3,Task,Replacement Headcount Final,1.10,Proforma / Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,69
1-10-3,1.10.3,1.10,1,ENGAGEMENT - Presolicitation,3,Task,"Generate Agreement, LOA & Proforma",1.10,Proforma / Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,70
1-10-4,1.10.4,1.10,1,ENGAGEMENT - Presolicitation,3,Task,Deliver to Client for Signature,1.10,Proforma / Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,71
1-11,1.11,1,1,ENGAGEMENT - Presolicitation,1,Process,Executed Agreement,1.11,Executed Agreement,Direct,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,72
1-11-1,1.11.1,1.11,1,ENGAGEMENT - Presolicitation,3,Task,LOA Signatures,1.11,Executed Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,73
1-11-2,1.11.2,1.11,1,ENGAGEMENT - Presolicitation,3,Task,Provide Signed Contract to Operations & Accounting,1.11,Executed Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,74
1-11-3,1.11.3,1.11,1,ENGAGEMENT - Presolicitation,3,Task,Update CRM (Project),1.11,Executed Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,75
1-11-4,1.11.4,1.11,1,ENGAGEMENT - Presolicitation,3,Task,Finalize Terms & Conditions,1.11,Executed Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,76
1-11-5,1.11.5,1.11,1,ENGAGEMENT - Presolicitation,3,Task,Obtain Agreement Signatures,1.11,Executed Agreement,Inherited,Account Manager,CRO,Admin - Sales,All,Sales,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,77
1-12,1.12,1,1,ENGAGEMENT - Presolicitation,1,Process,Invoice Client,1.12,Invoice Client,Direct,Accounting,COS,Sales,Sales,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Process Record,Not Started,Normal,Yes,78
1-12-1,1.12.1,1.12,1,ENGAGEMENT - Presolicitation,3,Task,Genearte Job Number(s),1.12,Invoice Client,Inherited,Accounting,COS,Sales,Sales,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,79
1-12-2,1.12.2,1.12,1,ENGAGEMENT - Presolicitation,3,Task,Provide Numbers to: Staffing & PM,1.12,Invoice Client,Inherited,Accounting,COS,Sales,Sales,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,80
1-12-3,1.12.3,1.12,1,ENGAGEMENT - Presolicitation,3,Task,Preparation/Commitment Fees Invoice,1.12,Invoice Client,Inherited,Accounting,COS,Sales,Sales,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,81
1-12-4,1.12.4,1.12,1,ENGAGEMENT - Presolicitation,3,Task,Send Prep/Commit Invoice to Client,1.12,Invoice Client,Inherited,Accounting,COS,Sales,Sales,Finance / Accounting,Gate 1 - Contract / Opportunity Approved,Checklist Item,Not Started,Normal,Yes,82
2,2,,2,STRATEGY - Agreement Signed,1,Stage,STRATEGY - Agreement Signed,1.12,Invoice Client,Inherited,Accounting,COS,Sales,Sales,Finance / Accounting,Gate 2 - Project Plan Approved,Process Record,Not Started,Normal,Yes,83
2-1,2.1,2,2,STRATEGY - Agreement Signed,2,Process,Sales Kick Off,2.1,Sales Kick Off,Direct,Account Manager,Project Mgt,Operations Staffing,Operations Field,Sales,Gate 2 - Project Plan Approved,Process Record,Not Started,Normal,Yes,84
2-1-1,2.1.1,2.1,2,STRATEGY - Agreement Signed,3,Task,Review Contract & Proforma,2.1,Sales Kick Off,Inherited,Account Manager,Project Mgt,Operations Staffing,Operations Field,Sales,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,85
2-1-2,2.1.2,2.1,2,STRATEGY - Agreement Signed,3,Task,Review Scope of Project,2.1,Sales Kick Off,Inherited,Account Manager,Project Mgt,Operations Staffing,Operations Field,Sales,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,86
2-1-3,2.1.3,2.1,2,STRATEGY - Agreement Signed,3,Task,Identify Stakeholders,2.1,Sales Kick Off,Inherited,Account Manager,Project Mgt,Operations Staffing,Operations Field,Sales,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,87
2-2,2.2,2,2,STRATEGY - Agreement Signed,2,Process,Licensing Requirements,2.2,Licensing Requirements,Direct,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Process Record,Not Started,Normal,Yes,88
2-2-1,2.2.1,2.2,2,STRATEGY - Agreement Signed,3,Task,Healthcare Licensing (HC),2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,89
2-2-1-1,2.2.1.1,2.2.1,2,STRATEGY - Agreement Signed,4,Subtask,HC: Compact State Review,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,90
2-2-1-2,2.2.1.2,2.2.1,2,STRATEGY - Agreement Signed,4,Subtask,HC: Position Review Special Licensing,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,91
2-2-1-3,2.2.1.3,2.2.1,2,STRATEGY - Agreement Signed,4,Subtask,HC: Process to License,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,92
2-2-1-4,2.2.1.4,2.2.1,2,STRATEGY - Agreement Signed,4,Subtask,HC: State Specific Forms,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,93
2-2-1-5,2.2.1.5,2.2.1,2,STRATEGY - Agreement Signed,4,Subtask,HC: Specific Tax Forms,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,94
2-2-2,2.2.2,2.2,2,STRATEGY - Agreement Signed,3,Task,Industrial Licensing (AWF),2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,95
2-2-2-1,2.2.2.1,2.2.2,2,STRATEGY - Agreement Signed,4,Subtask,AWF: Position Review Special Licensing,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,96
2-2-2-2,2.2.2.2,2.2.2,2,STRATEGY - Agreement Signed,4,Subtask,AWF: Process to License,2.2,Licensing Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,97
2-3,2.3,2,2,STRATEGY - Agreement Signed,2,Process,Background Requirements,2.3,Background Requirements,Direct,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Process Record,Not Started,Normal,Yes,98
2-3-1,2.3.1,2.3,2,STRATEGY - Agreement Signed,3,Task,Determine State Specific Needs,2.3,Background Requirements,Inherited,Admin Operations,Project Mgt,Operations Staffing,Sales,Operations Field,Gate 2 - Project Plan Approved,Checklist Item,Not Started,Normal,Yes,99
2-4,2.4,2,2,STRATEGY - Agreement Signed,2,Process,Transportation Plan,2.4,Transportation Plan,Direct,Operations Field,Project Mgt,VP of Ops,Sales,Operations Field,Gate 2 - Project Plan Approved,Process Record,Not Started,Normal,Yes,100
